Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster,PCA1,PCA2
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,"1,222,012","1,237,229","311,252,391",3281790327.0,"140,623,676",123.0,"265,291","4,003",40.0,"2,225,409",88.0,64456799.0,"20,518",33130829.0,3945184.0,,1.0,1,2.139221601167584,2.2463444369741357
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,"27,240,268","10,342,366","393,814,740",5861939942.0,"2,428,166,573",549.0,"573,733",169,584.0,"5,749,770",121.0,373294159.0,"844,198",37430204.0,44842636.0,,0.0,1,9.972758320521997,-1.4721401886909036
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,"251,373","251,200","71,078,500",443104700.0,"148,058,631",247.0,"3,400",8,67.0,"11,523,335",125.0,840442.0,"2,592",1369981.0,285858.0,,0.0,1,1.344521491654278,-0.3600367573785439
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,170970614.0,27827.0,5784546.0,41.0,22280037.0,"334,523","14,348,249","948,225,544",12196985599.0,,2.0,672,,4.0,"35,737",9.0,270610.0,"3,170",3224599.0,854584.0,,1.0,0,-1.0625067847070457,0.9488808019276602
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,"4,324,989","728,093","54,258,768",1051836430.0,"1,425,853,925",285.0,"935,190","2,487",207.0,"6,479,623",168.0,139926990.0,"31,235",8007236.0,10973120.0,,1.0,1,6.170719587293788,1.4440707674749034
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,"3,701,289","2,557,115","285,329,503",2578518632.0,"1,205,538,057",163.0,"259,255",96,77.0,"3,413,707",80.0,28924685.0,"14,634",9505098.0,8681350.0,,0.0,1,2.5308512210665293,-0.19246206401498714
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,"959,175","3,648,759","857,220,853",5469808282.0,"298,259,422",91.0,"36,285","2,676",63.0,"10,874,749",110.0,6151267.0,"9,160",7980051.0,2682219.0,,0.0,1,1.5154419992340675,-0.15330183524278665
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,"1,026,097",,"188,200",1200000.0,"110,446,147",199.0,"2,359",2,73.0,"13,686,074",98.0,360163.0,758,9883.0,47115.0,,1.0,0,0.878181301865009,1.081255212938543
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,"1,575,378","93,500","35,970,610",386610043.0,"3,129,834,452",174.0,"564,640",405,146.0,"28,246,184",127.0,25843941.0,"3,694",1991527.0,2389957.0,,0.0,0,0.5648074966234327,-0.5040490037261851
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,TCJPA2415647,48,204.4,1655575417.0,9.0,85.0,,148269610.0,,,,265917250.0,,,,,,,,12735768.5,,3224599.0,854584.0,,1.0,0,0.06156406229417607,0.9341967329218925
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,"921,044","13,872,768","390,207,653",5684815935.0,"19,218,089",78.0,"92,638",822,41.0,"3,467,570",36.0,7444354.0,"7,188",3224599.0,2227494.0,,1.0,0,-0.2118386077679832,1.0232444649855952
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,"61,799,279","799,338","78,304,409",1143297071.0,"569,548,901",179.0,"121,234",116,145.0,"1,977,014",118.0,266603596.0,"2,359,900",3224599.0,19622551.0,,0.0,1,7.784400793419065,-5.511290510214392
