Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Cluster
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208784,269,94.5,0.159486576795573,0.2638420978639579,0.1091287472119606,80.0,0.0117518575421433,"1,853,827","41,044","23,532,424",0.0007957084241501,"201,674,659",0.0641025641025641,"2,067",48,4.0,"5,523",12.0,0.0015876816278668,"3,396","18,237,169",0.0147719910169561,,1.0,1
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,USSM12305021,270,94.3,0.0811980464412006,0.1810783023453948,0.1142190713208416,74.0,0.0018798757190878,"405,870","19,100","6,796,886",0.0002275226518635,"174,680,696",0.0652680652680652,"53,527",13,23.0,"327,684",49.0,0.0085260720310893,"3,216","9,173,465",0.0039181500694407,,1.0,1
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,USCA21001182,271,94.2,0.0560204277278658,0.0547289846898072,0.0505424544431005,,0.0002777519984636,"47,967",,,0.001140138899939,,0.0314685314685314,"69,675",,,,,0.2163354161521319,"283,271",,0.0038880992777336,,0.0,2
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214875,272,94.1,0.2587968892533374,0.2053808408326007,0.1705391589153412,77.0,0.0469148260131749,"4,700,638","222,100","106,783,326",0.0040330206444223,"719,730,500",0.12004662004662,"74,052",113,30.0,"7,198,424",58.0,0.0280658310121321,"11,906","9,615,729",0.0074799082135533,,1.0,3
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,USQX91700278,273,94.0,0.6064844728200818,0.4712741217261103,0.4906159164743351,82.0,0.172936689607523,"15,242,846","350,848","80,813,727",0.0027065661918441,"277,516,825",0.3659673659673659,"409,911",,420.0,"1,634,441",108.0,0.4021312034461177,"197,928",,0.0729816666694116,,0.0,0
7 rings,7 rings,Ariana Grande,1/18/2019,USUM71900110,274,93.9,0.5284377969149056,0.3046523405675222,0.3412252550057355,77.0,0.1165978352394672,"22,206,277","3,040,090","282,688,098",0.0112375262963052,"2,185,559,044",0.2552447552447552,"176,589",945,87.0,"1,044,537",76.0,0.205751252756308,"409,686",,0.0363226080472917,,1.0,3
Moonlight,Moonlight,Kali Uchis,2/24/2023,USUM72219486,275,93.1,0.1638591822978877,0.1872284638485342,0.178123984382257,74.0,0.0128161586553266,"2,284,142","594,413","173,483,893",0.0047786340198733,"31,989,285",0.0769230769230769,"15,726",126,43.0,"1,632,541",44.0,0.0023562888442606,"9,386","8,993,848",0.0145786741146647,,0.0,2
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,USSM12003798,276,93.1,0.2611341142005672,0.2420497602436351,0.1030175360263381,67.0,0.0294954277671836,"3,636,839","10,104,238","420,225,179",0.0194231023392644,,0.2296037296037296,"394,564",200,209.0,"2,246,210",10.0,0.0087015286325158,,,0.0503560866402223,,1.0,3
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,USUM72402910,277,93.0,0.013583191972403,4.911998997274688e-05,0.0006530524172146,,0.0090835579636131,,,,0.001140138899939,,0.0,,,,,,0.0654569707221692,"106,600",,0.0038880992777336,,0.0,2
God's Plan,Diplomatic Immunity,Drake,1/20/2018,USCM51800004,278,92.9,0.5909065795676178,0.5314105397948139,0.3021465837223059,77.0,0.1250180120781348,"19,912,225","640,874","70,576,617",0.0027190795094969,"254,153,311",0.2622377622377622,"14,465",442,103.0,"898,454",76.0,0.3600948291611178,"707,727",,0.0432778490013641,,1.0,3
